Name,Wetland
Sagittaria fasciculata, OBL
Sagittaria filiformis, OBL
Sagittaria graminea, OBL
Sagittaria isoetiformis, OBL
Sagittaria lancifolia, OBL
Sagittaria latifolia, OBL
Sagittaria macrocarpa, OBL
Sagittaria papillosa, OBL
Sagittaria platyphylla, OBL
Sagittaria rigida, OBL
Sagittaria secundifolia, OBL
Sagittaria spathulata, OBL
Sagittaria subulata, OBL
Sagittaria teres, OBL
Sagittaria weatherbiana, OBL
Salicornia bigelovii, OBL
Salicornia depressa, OBL
Salicornia rubra, OBL
Salix candida, OBL
Salix caprea, OBL
Salix caroliniana, OBL
Salix nigra, OBL
Salix pedicellaris, OBL
Salix sericea, OBL
Salix serissima, OBL
Salvinia minima, OBL
Salvinia molesta, OBL
Salvinia natans, OBL
Samolus parviflorus, OBL
Samolus valerandi, OBL
Sarcocornia ambigua, OBL
Sarracenia alabamensis, OBL
Sarracenia flava, OBL
Sarracenia jonesii, OBL
Sarracenia leucophylla, OBL
Sarracenia minor, OBL
Sarracenia oreophila, OBL
Sarracenia purpurea, OBL
Sarracenia rosea, OBL
Sarracenia rubra, OBL
Saururus cernuus, OBL
Scheuchzeria palustris, OBL
Schoenolirion croceum, OBL
Schoenolirion wrightii, OBL
Schoenoplectus acutus, OBL
Schoenoplectus americanus, OBL
Schoenoplectus californicus, OBL
Schoenoplectus etuberculatus, OBL
Schoenoplectus fluviatilis, OBL
Schoenoplectus glaucus, OBL
Schoenoplectus hallii, OBL
Schoenoplectus heterochaetus, OBL
Schoenoplectus lacustris, OBL
Schoenoplectus maritimus, OBL
Schoenoplectus mucronatus, OBL
Schoenoplectus novae-angliae, OBL
Schoenoplectus pungens, OBL
Schoenoplectus purshianus, OBL
Schoenoplectus robustus, OBL
Schoenoplectus saximontanus, OBL
Schoenoplectus smithii, OBL
Schoenoplectus subterminalis, OBL
Schoenoplectus tabernaemontani, OBL
Schoenoplectus torreyi, OBL
Scirpoides holoschoenus, OBL
Scirpus ancistrochaetus, OBL
Scirpus atrovirens, OBL
Scirpus divaricatus, OBL
Scirpus expansus, OBL
Scirpus flaccidifolius, OBL
Scirpus georgianus, OBL
Scirpus hattorianus, OBL
Scirpus longii, OBL
Scirpus microcarpus, OBL
Scirpus pallidus, OBL
Scirpus pedicellatus, OBL
Scirpus pendulus, OBL
Scirpus polyphyllus, OBL
Scleria brittonii, OBL
Scleria reticularis, OBL
Scleria verticillata, OBL
Sclerolepis uniflora, OBL
Scutellaria galericulata, OBL
Scutellaria racemosa, OBL
Selaginella uncinata, OBL
Sium carsonii, OBL
Sium suave, OBL
Smilax laurifolia, OBL
Smilax walteri, OBL
Solidago gracillima, OBL
Solidago latissimifolia, OBL
Solidago ohioensis, OBL
Solidago patula, OBL
Solidago riddellii, OBL
Solidago uliginosa, OBL
Solidago verna, OBL
Sparganium americanum, OBL
Sparganium androcladum, OBL
Sparganium angustifolium, OBL
Sparganium emersum, OBL
Sparganium eurycarpum, OBL
Sparganium fluctuans, OBL
Sparganium natans, OBL
Spartina X, OBL
Spartina alterniflora, OBL
Spartina cynosuroides, OBL
Spartina pectinata, OBL
Spergularia marina, OBL
Sphenoclea zeylanica, OBL
Sphenopholis pensylvanica, OBL
Spiranthes laciniata, OBL
Spiranthes longilabris, OBL
Spiranthes odorata, OBL
Spiranthes praecox, OBL
Spiranthes romanzoffiana, OBL
Spirodela polyrhiza, OBL
Stachys appalachiana, OBL
Stachys palustris, OBL
Stellaria alsine, OBL
Stenanthium densum, OBL
Stenanthium leimanthoides, OBL
Stuckenia filiformis, OBL
Stuckenia pectinata, OBL
Stuckenia vaginata, OBL
Styrax americanus, OBL
Suaeda linearis, OBL
Suaeda maritima, OBL
Symphyotrichum bahamense, OBL
Symphyotrichum boreale, OBL
Symphyotrichum divaricatum, OBL
Symphyotrichum elliottii, OBL
Symphyotrichum expansum, OBL
Symphyotrichum puniceum, OBL
Symphyotrichum squamatum, OBL
Symphyotrichum subulatum, OBL
Symphyotrichum tenuifolium, OBL
Symplocarpus foetidus, OBL
Taxodium ascendens, OBL
Taxodium distichum, OBL
Thalia dealbata, OBL
Thalia geniculata, OBL
Tiedemannia canbyi, OBL
Torreyochloa pallida, OBL
Toxicodendron vernix, OBL
Trapa natans, OBL
Triantha glutinosa, OBL
Triantha racemosa, OBL
Trichophorum caespitosum, OBL
Triglochin maritima, OBL
Triglochin palustris, OBL
